incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
C15,2009,Special Service,255,"ASSIST RSPCA WITH CAT STUCK UP TREE, B15",Cat,Outdoor,E05000528,South Richmond,Richmond,518450,174550
C16,2009,Special Service,255,"CAT STUCK UP TREE,B15",Cat,Outdoor,E05011489,Woodside,Woodside,534850,167650
C17,2009,Special Service,255,"INJURED CAT UP TREE,B15",Cat,Outdoor,E05000453,Telegraph Hill,New Cross,535950,174950
D18,2009,Special Service,255,"DOG TRAPPED IN BRAMBLES,B15",Dog,Outdoor,E05000431,Streatham South,Norbury,530950,170850
D20,2009,Special Service,255,"INJURED DOG FOLLOWING RTA,B0",Dog,Outdoor,E05000159,Purley,Purley,531650,161950
C21,2009,Special Service,255,"INJURED CAT STUCK UP TREE, B15",Cat,Outdoor,E05000540,East Walworth,Old Kent Road,532550,178850
C22,2009,Special Service,255,"KITTEN TRAPPED UP PIPE IN KITCHEN,B15",Cat,Dwelling,E05009325,Lansbury,Poplar,538150,181250
D23,2009,Special Service,255,"DOG TRAPPED IN HOLE,B15",Dog,Outdoor,E05000288,Greenhill,Harrow,515050,187750
C24,2009,Special Service,255,"CAT TRAPPED IN WALL,B15",Cat,Non Residential,E05000039,Thames,Barking,547050,183150
D25,2009,Special Service,255,"DOG TRAPPED IN POND,B15",Dog,Outdoor,E05000055,Hendon,Hendon,524050,188950
C26,2009,Special Service,255,"INJURED CAT STUCK UP TREE, B15",Cat,Outdoor,E05009321,Bromley North,Poplar,538150,182750
D27,2009,Special Service,765,"DOG  STUCK IN LAKE,J15",Dog,Outdoor,E05000637,Knightsbridge and Belgravia,Kensington,527250,180050
B28,2009,Special Service,255,"SWAN STUCK ON ROOF,B15",Bird,Outdoor,E05000315,Hylands,Hornchurch,552350,186750
C29,2009,Special Service,255,"ASSIST RSCPA WITH CAT ON ROOF, B15",Cat,Dwelling,E05000031,Eastbury,Barking,546950,184150
D30,2009,Special Service,255,"DOG TRAPPED IN RAILINGS,B15",Dog,Outdoor,E05000032,Gascoigne,Barking,544250,183650
D31,2009,Special Service,255,"DOG WITH HEAD TRAPPED IN SPEAKER,B15",Dog,Dwelling,E05000454,Whitefoot,Bromley,539750,172050
B32,2009,Special Service,255,"ASSIST RSPCA WITH BIRD TRAPPED IN TREE BY FOOT,B15",Bird,Outdoor,E05000425,Larkhall,Clapham,529750,176650
D33,2009,Special Service,255,"DOG TRAPPED IN DRAIN UNDER BANDSTAND,B15",Dog,Non Residential,E05000348,Chiswick Homefields,Chiswick,521450,176750
D34,2009,Special Service,510,"DOG TRAPPED IN FENCING,B15",Dog,Outdoor Structure,E05000186,Norwood Green,Southall,513550,179850
C35,2009,Special Service,255,"ASSIST RSPCA TO RESCUE TRAPPED CAT, B15",Cat,Dwelling,E05000136,Haverstock,Kentish Town,528050,185150
C36,2009,Special Service,255,"CAT UP TREE,B15",Cat,Outdoor,E05000310,Gooshays,Harold Hill,554750,192350
D37,2009,Special Service,255,"ASSIST RSCPA OFFICER WITH DOG TRAPPED IN BABY GATE,B15",Dog,Dwelling,E05000040,Valence,Dagenham,547450,186950
F38,2009,Special Service,765,"ASSIST RSPCA WITH RESCUING FOX, J15",Fox,Outdoor,E05000427,Prince's,Lambeth,530550,178650
D39,2009,Special Service,510,"SMALL DOG STUCK DOWN HOLE IN PARK,B15",Dog,Outdoor,E05000519,"Ham, Petersham and Richmond Riverside",Kingston,518950,171850
F40,2009,Special Service,255,"FOX TRAPPED IN FENCE,B15",Fox,Dwelling,E05000411,St. James,New Malden,521550,167750
B41,2009,Special Service,255,"BIRD IN CHIMNEY,B15",Bird,Dwelling,E05000287,Edgware,Stanmore,519350,190750
C42,2009,Special Service,255,"CAT STUCK UNDER FLOORBOARDS,B15",Cat,Dwelling,E05000516,Barnes,Hammersmith,521950,177550
C43,2009,Special Service,255,"CAT TRAPPED ON/BY RAIL LINE, B15",Cat,Outdoor,E05000374,Hillrise,Holloway,529950,186950
D44,2009,Special Service,765,"DOG IN CANAL,J15",Dog,Outdoor,E05000364,Syon,Heston,517050,177450
D46,2009,Special Service,255,"DOG TRAPPED IN RAILINGS, B15",Dog,Outdoor,E05000564,Sutton Central,Sutton,526050,164050
S47,2009,Special Service,255,"SQUIRREL WITH LEG TRAPPED IN GUTTERING,B15",Squirrel,Non Residential,E05000449,New Cross,Deptford,537450,177150
C48,2009,Special Service,255,"CAT TRAPPED IN CHIMNEY,B15",Cat,Dwelling,E05000143,St. Pancras and Somers Town,Euston,529450,183750
D49,2009,Special Service,255,"DOG TRAPPED IN FENCING,B15",Dog,Non Residential,E05000219,Eltham South,Eltham,543250,174250
C50,2009,Special Service,510,"CAT STUCK IN TREE, B15",Cat,Outdoor,E05000590,Cann Hall,Leytonstone,539650,186850
C51,2009,Special Service,255,"KITTEN IN DISTRESS ON ROOF, B15",Cat,Dwelling,E05000123,Penge and Cator,Beckenham,535450,170450
D53,2009,Special Service,255,"DOG WITH HEAD TRAPPED IN CHAIR,B15",Dog,Dwelling,E05011102,Faraday,Old Kent Road,532950,178350
D54,2009,Special Service,255,"DOG STUCK IN MUD ON SHORELINE  ,J15",Dog,Outdoor,E05000075,Erith,Erith,551650,178350
D55,2009,Special Service,255,"DOG TRAPPED DOWN MANHOLE COVER,B15",Dog,Outdoor Structure,E05000274,Muswell Hill,Hornsey,529050,189350
C56,2009,Special Service,255,"TO ASSIST RSPCA WITH  CAT TRAPPED ON ROOF,B15",Cat,Dwelling,E05000333,Ickenham,Hillingdon,507850,185550
F57,2009,Special Service,255,"FOX TRAPPED IN FOOTBALL NET,B15",Fox,Outdoor,E05000044,Burnt Oak,Mill Hill,520750,190250
F58,2009,Special Service,255,"FOX TRAPPED IN BASEMENT GARDEN,B15",Fox,Outdoor,E05000252,Avonmore and Brook Green,Hammersmith,524650,178850
C59,2009,Special Service,255,"CAT TRAPPED BETWEEN WALLS,B15",Cat,Dwelling,E05009390,Campden,Kensington,525350,180150
D60,2009,Special Service,765,"DOG IN LAKE,J15",Dog,Outdoor,E05004162,Loughton Forest,Essex,540450,195250
C61,2009,Special Service,255,"ASSIST RSPCA WITH KITTEN UP TREE ,B15",Cat,Outdoor,E05000422,Gipsy Hill,West Norwood,533350,171050
C62,2009,Special Service,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Dwelling,E05000420,Coldharbour,Brixton,531350,175850
C63,2009,Special Service,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Dwelling,E05000420,Coldharbour,Brixton,531350,175850
B64,2009,Special Service,255,"PIGEON IN PRECARIOUS POSITION, B15",Bird,Outdoor,E05000644,St. James's,Soho,529750,180850
C66,2009,Special Service,255,"CAT STUCK BEHIND WASHING MACHINE,B15",Cat,Other Residential,E05000379,St. Mary's,Islington,531650,184350
D67,2009,Special Service,255,"DOG IN WATER, J15",Dog,Outdoor,E05000593,Chingford Green,Chingford,539750,194550
D68,2009,Special Service,255,"DOG TRAPPED IN BARBED WIRE,B15",Dog,Outdoor,E05000274,Muswell Hill,Hornsey,529350,189050
B69,2009,Special Service,255,"SWAN IN DISTRESS, J15",Bird,Outdoor,E05009330,St. Katharine's & Wapping,Shadwell,534750,180650
B70,2009,Special Service,255,"ASSIST RSPCA WITH TRAPPED PIGEON , B15",Bird,Non Residential,E05000159,Purley,Purley,531350,161550
C71,2009,Special Service,1275,"KITTEN STUCK IN MUD,J15",Cat,Outdoor,E05000075,Erith,Erith,551250,178550
B72,2009,Special Service,255,"PIGEON TRAPPED,B15",Bird,Outdoor,E05000363,Osterley and Spring Grove,Heston,516450,177350
B73,2009,Special Service,255,"ASSIST RSPCA WITH GULL STUCK IN TREE  ,B15",Bird,Outdoor,E05000100,Stonebridge,Park Royal,520950,184850
C74,2009,Special Service,255,"INJURED CAT ON ROOF,B15",Cat,Dwelling,E05000034,Heath,Dagenham,549250,186850
F75,2009,Special Service,255,"FOX TRAPPED ABOVE WATER, B15",Fox,Outdoor Structure,E05000416,Bishop's,Lambeth,531050,180350
C76,2009,Special Service,255,"ASSIST RSPCA WITH CAT IN TREE,B15",Cat,Outdoor,E05000060,Underhill,Barnet,524650,195750
B77,2009,Special Service,255,"TO ASSIST RSPCA WITH GULL IN TREE TRAPPED BY FISHING LINE,B2",Bird,Outdoor,E05000456,Cannon Hill,New Malden,523950,168550
C79,2009,Special Service,255,"KITTEN TRAPPED BETWEEN WALL AND WOOD PANEL,B15",Cat,Dwelling,E05000484,Forest Gate South,Stratford,540550,185150
B80,2009,Special Service,255,"BIRD TRAPPED IN APEX OF HOUSE, B15",Bird,Dwelling,E05000597,Hale End and Highams Park,Woodford,538750,191550
C81,2009,Special Service,510,"CAT WITH PAWS TRAPPED IN WINDOW, B15",Cat,Dwelling,E05000229,Woolwich Common,Plumstead,543450,178050
B82,2009,Special Service,255,"BIRD TRAPPED IN WIRING,B15",Bird,Dwelling,E05000039,Thames,Barking,548150,183450
D83,2009,Special Service,255,"DOG TRAPPED UNDER CAR,B15",Dog,Road Vehicle,E05000130,Camden Town with Primrose Hill,Euston,528050,183850
C84,2009,Special Service,255,"CAT TRAPPED IN NARROW TUBE ON ROOF, B15",Cat,Dwelling,E05000475,Beckton,East Ham,542050,181750
C85,2009,Special Service,255,"CAT TRAPPED BETWEEN CHIMNEY POTS, B15",Cat,Dwelling,E05000481,East Ham North,East Ham,541750,184250
B86,2009,Special Service,255,"PIGEON TRAPPED IN SHELTER, B15",Bird,Non Residential,E05000478,Canning Town South,Plaistow,539550,181450
D87,2009,Special Service,255,"DOG TRAPPED IN WATER,J15",Dog,Outdoor,E05000474,Wimbledon Park,Wimbledon,525850,171850
D88,2009,Special Service,255,"DOG IN PRECARIOUS POSITIION,B2",Dog,Dwelling,E05009333,Spitalfields & Banglatown,Whitechapel,533850,181850
D89,2009,Special Service,255,"DOG TRAPPED IN STREAM, B15",Dog,Outdoor,E05000447,Lee Green,Lee Green,538850,175150
C90,2009,Special Service,510,"ASSIST RSPCA WITH CAT IN TREE, B15",Cat,Outdoor,E05000485,Green Street East,East Ham,541850,184050
D91,2009,Special Service,255,"DOG TRAPPED DOWN HOLE,B15",Dog,Outdoor,E05009388,Abingdon,Kensington,524950,179050
D92,2009,Special Service,255,"DOG STUCK ON WINDOWSILL OUTSIDE,B15",Dog,Dwelling,E05000331,Heathrow Villages,Hayes,508450,177350
C93,2009,Special Service,255,"CAT TRAPPED IN BOARDED UP HOUSE,B15",Cat,Dwelling,E05011108,Nunhead & Queen's Road,New Cross,534750,176550
C94,2009,Special Service,255,"CAT STUCK IN BASEMENT AREA OF SHOP ,B15",Cat,Outdoor Structure,E05000112,Clock House,Beckenham,535250,169150
C95,2009,Special Service,510,"CAT TRAPPED UNDER BONNET OF CAR,B15",Cat,Road Vehicle,E05000497,Bridge,Woodford,541650,191150
H96,2009,Special Service,765,"HORSE STUCK IN MUD IN FIELD,B17",Horse,Outdoor,E05000030,Eastbrook,Dagenham,551450,186150
C97,2009,Special Service,255,"CAT STUCK IN TREE,B0",Cat,Outdoor,E05000503,Fairlop,Hainault,545350,191550
C98,2009,Special Service,255,"CAT STUCK ON ROOF,B15",Cat,Dwelling,E05000477,Canning Town North,Plaistow,539950,182650
B99,2009,Special Service,510,"BIRD TRAPPED IN GUTTERING,B15",Bird,Non Residential,E05000418,Clapham Common,Clapham,529250,174250
B101,2009,Special Service,255,"PIGEON TRAPPED IN MESH,B15",Bird,Dwelling,E05000342,West Drayton,Hayes,506350,179650
B102,2009,Special Service,255,"RUNNING CALL TO SWAN TRAPPED IN NETTING, J15",Bird,Outdoor,E05000073,Danson Park,Bexley,547250,175150
C103,2009,Special Service,255,"CAT TRAPPED BETWEEN WALL AND FENCE,B15",Cat,Dwelling,E05000599,High Street,Walthamstow,535850,189150
C104,2009,Special Service,255,"ASSIST RSPCA WITH CAT IN ROOF,B15",Cat,Dwelling,E05009317,Bethnal Green,Bethnal Green,535650,182250
B105,2009,Special Service,510,"ASSIST RSPCA WITH SMALL ANIMAL RESCUE,B15",Bird,Dwelling,E05000486,Green Street West,Stratford,540850,184950
S106,2009,Special Service,255,"SHEEP IN RIVER,J15,WR1",Sheep,Outdoor,E05000593,Chingford Green,Chingford,537550,195050
C107,2009,Special Service,255,"ASSIST RSPCA WITH CAT TRAPPED BETWEEN 2 WALLS,B15",Cat,Outdoor,E05000529,South Twickenham,Twickenham,516050,172450
B108,2009,Special Service,255,"BIRD TRAPPED IN CHIMNEY,B15",Bird,Dwelling,E05011468,Fairfield,Croydon,532450,164850
C109,2009,Special Service,255,"CAT STUCK UP TREE,B15",Cat,Outdoor,E05000195,Chase,Enfield,532650,198350
C110,2009,Special Service,255,"CAT STUCK IN BASEMENT AREA,B15",Cat,Dwelling,E05000138,Holborn and Covent Garden,Soho,530750,182050
C112,2009,Special Service,255,"CAT TRAPPED IN REAR GARDEN, B15",Cat,Outdoor,E05011110,Peckham,Old Kent Road,534650,177350
D113,2009,Special Service,255,"DOG TRAPPED BEHIND GARDEN SHED,B15",Dog,Outdoor Structure,E05009329,St. Dunstan's,Bethnal Green,536450,181550
C114,2009,Special Service,255,"CAT TRAPPED IN LOCKED PREMISES,B3",Cat,Non Residential,E05000094,Kilburn,West Hampstead,525050,183850
C115,2009,Special Service,255,"DISTRESSED CAT STUCK ON ROOF, B15, RC",Cat,Dwelling,E05000428,St. Leonard's,Norbury,529850,170950
D116,2009,Special Service,255,"DOG TRAPPED DOWN FOXHOLE NEAR, B15",Dog,Outdoor,E05000033,Goresbrook,Dagenham,548250,184150
D117,2009,Special Service,255,"DOG ON ROOF,B15",Dog,Non Residential,E05000317,Pettits,Romford,550250,190150
C118,2009,Special Service,255,"ASSIST RSPCA WITH CAT UP TREE,B15",Cat,Dwelling,E05011485,South Norwood,Woodside,532950,168050
B119,2009,Special Service,255,"BIRDS TRAPPED IN NETTING, B15",Bird,Non Residential,E05000408,Grove,Kingston,518250,169150
B120,2009,Special Service,255,"PIGEON CAUGHT IN NETTING, B15, RC",Bird,Dwelling,E05000365,Turnham Green,Chiswick,520150,178250
B121,2009,Special Service,255,"BIRD WITH LEG TRAPPED IN TREE BRANCH, B15",Bird,Dwelling,E05000143,St. Pancras and Somers Town,Euston,529550,183150
B122,2009,Special Service,255,"BIRD TRAPPED IN TREE,B15",Bird,Outdoor,E05000143,St. Pancras and Somers Town,Euston,529850,182750
C123,2009,Special Service,255,"CAT TRAPPED BETWEEN WALLS,B15",Cat,Non Residential,E05000107,Biggin Hill,Biggin Hill,542150,158550
C124,2009,Special Service,255,"ASSIST PARKS POLICE WITH CAT STUCK UP TREE,B15",Cat,Outdoor,E05000519,"Ham, Petersham and Richmond Riverside",Kingston,518250,173250
C125,2009,Special Service,255,"CAT TRAPPED BEHIND WALL,B15",Cat,Dwelling,E05000476,Boleyn,Plaistow,541550,182950
C126,2009,Special Service,260,"CAT STUCK UP TREE,B0",Cat,Outdoor,E05000519,"Ham, Petersham and Richmond Riverside",Kingston,518250,173350
D127,2009,Special Service,260,"DOG STUCK IN DRAINAGE PIPE,B15",Dog,Outdoor Structure,E05000517,East Sheen,Richmond,520450,174550
D128,2009,Special Service,260,"DOG STUCK IN POND,B15",Dog,Outdoor,E05000463,Lavender Fields,Mitcham,527150,170050
C129,2009,Special Service,260,"CAT TRAPPED IN GARAGE,B15",Cat,Non Residential,E05000140,Kilburn,West Hampstead,525250,183950
D130,2009,Special Service,260,"PUPPY STUCK IN SAFETY GATE,B15",Dog,Dwelling,E05000054,Hale,Mill Hill,520050,191650
D131,2009,Special Service,260,"TO ASSIST POLICE WITH TWO DOGS TRAPPED IN RAILINGS,B15",Dog,Non Residential,E05000437,Bellingham,Forest Hill,536450,171850
C132,2009,Special Service,260,"KITTEN STUCK IN TREE,B15",Cat,Outdoor,E05011484,South Croydon,Croydon,532750,164450
C133,2009,Special Service,260,"KITTEN TRAPPED IN WALL, B15",Cat,Dwelling,E05011489,Woodside,Woodside,534750,167150
B134,2009,Special Service,260,"SMALL ANIMAL RESCUE,B15",Bird,Dwelling,E05000429,Stockwell,Brixton,530750,176350
C136,2009,Special Service,260,"CAT TRAPPED BETWEEN CELING AND FLOOR,B15",Cat,Dwelling,E05000366,Barnsbury,Islington,531350,184050
C137,2009,Special Service,260,"CAT STUCK UP TREE,B15",Cat,Outdoor,E05000564,Sutton Central,Sutton,526350,164850
C138,2009,Special Service,520,"KITTEN TRAPPED UNDER FLOORBOARDS, B15",Cat,Dwelling,E05000290,Harrow Weald,Stanmore,515750,191450
D139,2009,Special Service,260,"PUPPY WITH HEAD TRAPPED UNDER FENCE, B15",Dog,Outdoor,E05000328,Charville,Hillingdon,509650,183150
C140,2009,Special Service,260,"KITTEN TRAPPED BEHIND FIREPLACE,B15",Cat,Dwelling,E05000622,St. Mary's Park,Battersea,527350,177050
C141,2009,Special Service,260,"CAT STUCK UP TREE,B15",Cat,Dwelling,E05000343,West Ruislip,Ruislip,508650,187550
C142,2009,Special Service,260,"CAT ON ROOF,B15",Cat,Dwelling,E05000481,East Ham North,East Ham,542950,184750
D143,2009,Special Service,260,"PUPPY WITH HEAD TRAPPED IN GATE, B15",Dog,Dwelling,E05000041,Village,Dagenham,550550,184550
D144,2009,Special Service,260,"DOG TRAPPED UNDER BRIDGE BY CANAL,B15",Dog,Outdoor,E05000306,Brooklands,Romford,550750,189250
C145,2009,Special Service,260,"CAT TRAPPED IN A WELL, B15",Cat,Dwelling,E05000380,St. Peter's,Islington,531850,183250
C146,2009,Special Service,260,"CAT TRAPPED UNDER DECKING, B15",Cat,Dwelling,E05000636,Hyde Park,Paddington,526450,181150
C147,2009,Special Service,260,"KITTEN TRAPPED BEHIND FIRE PLACE,B15",Cat,Dwelling,E05000486,Green Street West,Stratford,540750,184650
C148,2009,Special Service,260,"ASSIST RSPCA WITH CAT UP TREE,B15",Cat,Dwelling,E05000050,Edgware,Mill Hill,519750,192250
C149,2009,Special Service,260,"CAT STUCK UP TREE,B15",Cat,Outdoor,E05000479,Custom House,Plaistow,541550,181250
C150,2009,Special Service,260,"CAT TRAPPED IN LOFT, B15",Cat,Dwelling,E05000317,Pettits,Romford,551150,190450
D151,2009,Special Service,260,"ASSIST RSPCA WITH DISTRESSED DOG LOCKED IN CAR, B2",Dog,Road Vehicle,E05000272,Highgate,Hornsey,527550,187750
C152,2009,Special Service,260,"CAT TRAPPED BEHIND CUPBOARD,B15",Cat,Dwelling,E05000281,Tottenham Hale,Tottenham,533950,190150
C153,2009,Special Service,260,"CAT WITH PAW STUCK IN DOUBLE GLAZED WINDOW, B15",Cat,Dwelling,E05000487,Little Ilford,Ilford,543050,185950
C154,2009,Special Service,260,"KITTENS TRAPPED BEHIND CHIMNEY BREAST ,B15",Cat,Dwelling,E05011488,West Thornton,Norbury,530950,166850
C155,2009,Special Service,260,"CAT TRAPPED ON LEDGE    ,B15",Cat,Dwelling,E05009386,Victoria,Bethnal Green,535250,183850
C156,2009,Special Service,260,"CAT TRAPPED BY CHIMNEY,B15,RC",Cat,Dwelling,E05000482,East Ham South,East Ham,542650,182550
C157,2009,Special Service,260,"ASSIST RSPCA WITH CAT UP A TREE,B15",Cat,Outdoor,E05000206,Ponders End,Edmonton,535150,195350
C158,2009,Special Service,260,"CAT STUCK ON ROOF, B15",Cat,Dwelling,E05000567,Sutton West,Sutton,524750,163850
C159,2009,Special Service,260,"CAT STUCK ON ROOF POSSIBLY INJURED,B15",Cat,Outdoor,E05009376,Homerton,Homerton,535150,185350
C160,2009,Special Service,260,"CAT TRAPPED IN UNKNOWN LOCATION,B15",Cat,Outdoor,E05009376,Homerton,Homerton,535150,185350
C161,2009,Special Service,260,"CAT STUCK UNDER SHED, B15",Cat,Non Residential,E05000263,Shepherd's Bush Green,Hammersmith,523050,180150
C162,2009,Special Service,260,"CAT STUCK ON ROOF FOR 48 HOURS, B15",Cat,Dwelling,E05011489,Woodside,Woodside,534850,167750
C163,2009,Special Service,260,"CAT STUCK ON BALCONY,B15",Cat,Non Residential,E05000591,Cathall,Leytonstone,539150,185950
C164,2009,Special Service,260,"CAT TRAPPED IN FLOWER BASKET,B15",Cat,Outdoor,E05009320,Bow West,Bethnal Green,536350,183650
C165,2009,Special Service,260,"CAT TRAPPED IN GARAGE,B15",Cat,Non Residential,E05000039,Thames,Barking,546150,183250
D166,2009,Special Service,260,"DOG TRAPPED BETWEEN GARAGE WALLS,B15",Dog,Non Residential,E05000261,Ravenscourt Park,Hammersmith,522050,178250
C167,2009,Special Service,260,"ASSIST RSPCA WITH CAT STUCK IN TREE,B15",Cat,Dwelling,E05000401,Berrylands,Surbiton,519350,167950
B168,2009,Special Service,260,"BIRD STUCK BEHIND FIREPLACE,B15",Bird,Dwelling,E05000418,Clapham Common,Clapham,529650,175050
C169,2009,Special Service,260,"CAT IN DISTRESS,B15,RC",Cat,Dwelling,E05000371,Finsbury Park,Holloway,530650,186350
F170,2009,Special Service,260,"ASSIST RSPCA WITH TRAPPED FOX,B15",Fox,Outdoor,E05000322,Squirrel's Heath,Harold Hill,553450,189950
C171,2009,Special Service,260,"CAT TRAPPED IN BASEMENT,B15",Cat,Dwelling,E05000419,Clapham Town,Clapham,529350,175550
D172,2009,Special Service,520,"DOG TRAPPED UNDER FENCE,B15",Dog,Non Residential,E05000206,Ponders End,Enfield,536150,195450
B173,2009,Special Service,260,"ASSIST RSPCA WITH CROW STUCK IN NETTING,B15",Bird,Dwelling,E05000198,Enfield Highway,Enfield,535850,196650
B174,2009,Special Service,260,"BIRD WITH WIRE ON LEG HANGING FROM TREE,B15",Bird,Outdoor,E05000380,St. Peter's,Islington,532150,183750
B175,2009,Special Service,260,"TO ASSIST RSPCA WITH PIGEON TRAPPED BEHIND WIRE GRILL,B15",Bird,Non Residential,E05009376,Homerton,Homerton,535450,184550
D176,2009,Special Service,260,"DOG WITH HEAD TRAPPED,B15",Dog,Dwelling,E05000630,Abbey Road,Paddington,526350,183050
C177,2009,Special Service,260,"TO ASSIST RSPCA WITH CAT STUCK UP TREE,B15",Cat,Dwelling,E05000400,Alexandra,Surbiton,520050,167150
D178,2009,Special Service,260,"DOG WEDGED BETWEEN POST AND WALL, B15",Dog,Outdoor,E05000311,Hacton,Hornchurch,554550,186050
C179,2009,Special Service,260,"ASSIST RSPCA WITH CAT STUCK ON ROOF FOR THE PAST 24 HOURS,B15",Cat,Dwelling,E05000111,Chislehurst,Sidcup,544150,171050
H180,2009,Special Service,520,"HORSE IN RIVER,J17",Horse,Outdoor,E05000212,Upper Edmonton,Edmonton,535950,191750
D181,2009,Special Service,780,"FAWN TRAPPED IN CANAL,J15,WR2",Deer,Outdoor,E05000345,Yiewsley,Hayes,507250,179950
B182,2009,Special Service,260,"ASSIST RSPCA WITH STARLING TRAPPED IN TREE,B15",Bird,Outdoor,E05000517,East Sheen,Richmond,520750,175550
C183,2009,Special Service,260,"CAT STUCK IN VENT,B15",Cat,Dwelling,E05000460,Figge's Marsh,Mitcham,528750,169250
B184,2009,Special Service,260,"ANIMAL TRAPPED IN CHIMNEY,B15",Bird,Dwelling,E05000197,Edmonton Green,Edmonton,534450,193250
B185,2009,Special Service,260,"CROW STUCK IN NETTING AND IN DISTRESS, B15",Bird,Non Residential,E05000200,Grange,Enfield,532850,196550
C186,2009,Special Service,1820,"CAT TRAPPED ON RAFT ON CANAL WATER RESCUE LEVEL 2, J15, WR1,WR2",Cat,Outdoor,E05009327,Mile End,Poplar,536750,181250
C187,2009,Special Service,260,"CAT TRAPPED UNDERNEATH SHED,B15",Cat,Dwelling,E05000263,Shepherd's Bush Green,Hammersmith,523050,180150
D188,2009,Special Service,260,"DOG IN DISTRESS,B15",Dog,Outdoor,E05000057,Mill Hill,Mill Hill,522950,191850
C189,2009,Special Service,260,"ASSIST RSPCA WITH CAT STUCK UP TREE,B15",Cat,Outdoor,E05000606,Markhouse,Walthamstow,537350,188850
B190,2009,Special Service,260,"PIGEON TRAPPED,B15",Bird,Dwelling,E05000060,Underhill,Barnet,524750,195450
C191,2009,Special Service,260,"RUNNING CALL TO ASSIST RSPCA WITH TRAPPED CAT,B15",Cat,Dwelling,E05009401,Queen's Gate,Kensington,526150,179650
C192,2009,Special Service,260,"CAT IN DISTRESS TRAPPED BEHIND OF RADIATOR,B15",Cat,Dwelling,E05009391,Chelsea Riverside,Chelsea,526850,177550
C193,2009,Special Service,260,"CAT IN DISTRESS,B15",Cat,Dwelling,E05009373,Hackney Downs,Stoke Newington,534050,186050
B194,2009,Special Service,260,"BIRD TRAPPED IN DRAIN, B15",Bird,Dwelling,E05000520,Hampton,Twickenham,513050,169950
S195,2009,Special Service,260,"INJURED SQUIRREL TRAPPED UNDER CAR,B15",Squirrel,Road Vehicle,E05000052,Garden Suburb,Finchley,524950,188650
D196,2009,Special Service,260,"DOG TRAPPED IN METAL FENCE,B15",Dog,Dwelling,E05000259,Palace Riverside,Fulham,523550,176750
F197,2009,Special Service,780,"FOX TRAPPED IN DITCH AT LOCATION,B15",Fox,Dwelling,E05009327,Mile End,Poplar,536850,181450
B198,2009,Special Service,260,"BIRD TRAPPED IN CHIMNEY,B15",Bird,Dwelling,E05000204,Lower Edmonton,Edmonton,534450,193950
C199,2009,Special Service,520,"ASSIST RSPCA WITH CAT STUCK UP TREE,B15",Cat,Outdoor,E05000266,Alexandra,Hornsey,529150,189950
B200,2009,Special Service,260,"PIGEON TRAPPED IN NETTING,B15,RC",Bird,Dwelling,E05000172,Dormers Wells,Southall,514150,181050
C201,2009,Special Service,260,"CAT STUCK ON FENCE,B15",Cat,Outdoor Structure,E05009320,Bow West,Bethnal Green,536450,183650
